stock_code,corp_name,induty_code,wave_group,wave_group_final,report_ok,kw_CBAM,kw_배터리여권,kw_기어박스,kw_휠,kw_현가장치,kw_라디에이터,kw_유럽
007530,(주)와이엠,259,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,1,0,0,0,1
460930,현대힘스 주식회사,31114,비대상,비대상,True,0,0,0,0,0,0,0
005800,(주)신영와코루,14120,비대상,비대상,True,0,0,0,0,0,0,0
293480,하나제약(주),212,비대상,비대상,True,0,0,0,0,0,0,6
053270,(주)구영테크,303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,1
001620,케이비아이동국실업(주),303,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,16
278470,(주)에이피알,20423,비대상,비대상,True,0,0,0,0,0,0,1
114810,한솔아이원스(주),2927,비대상,비대상,True,0,0,0,0,0,0,0
015750,(주)성우하이텍,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,0,0,1,0,22
015890,태경산업(주),20129,1차(2027),1차(2027),True,0,0,0,0,0,0,10
001780,(주)알루코,24222,1차(2027),1차(2027),True,0,0,0,0,6,0,9
460860,동국제강(주),241,1차(2027),1차(2027),True,0,0,0,0,0,0,2
067390,(주)아스트,31322,비대상,비대상,True,0,0,0,0,0,0,0
039840,(주)디오,27192,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,8
262260,(주)에이프로,289,비대상,비대상,True,0,0,0,0,0,0,17
126640,(주)화신정공,303,2차 후보(확인 필요),"2차(2028, 제품명 확인)",True,0,0,0,0,3,0,0
214390,(주)경보제약,211,비대상,비대상,True,0,0,0,0,0,0,17
303810,동국생명과학(주),212,비대상,비대상,True,0,0,0,0,0,0,2
119650,케이씨코트렐(주),291,2차 후보(확인 필요),2차 후보(확인 필요),True,0,0,0,0,0,0,1
004450,삼화왕관(주),25991,1차(2027),1차(2027),True,0,0,0,0,0,0,2
077360,덕산하이메탈(주),261,비대상,비대상,True,0,0,0,0,0,0,2
111110,호전실업 주식회사,14199,비대상,비대상,True,0,0,0,0,0,0,1
050110,(주)캠시스,262,비대상,비대상,True,0,0,0,0,0,0,1
000520,삼일제약(주),212,비대상,비대상,True,0,0,0,0,0,0,4
