stock_code,corp_name,size_class,is_holding,wave_group_reviewed,induty_code,kisa_name,kisa_type_used,it_year,it_spend,rev_same_year,it_ratio,rev_band
057540,옴니시스템(주),중소,False,2차 후보-약,272,,,,,,,
251970,펌텍코리아 주식회사,중견,False,비대상,22232,,,,,,,
377740,(주)바이오노트,중견,False,비대상,213,,,,,,,
033100,제룡전기(주),중견,False,2차(2028),2811,,,,,,,
015230,대창단조(주),중견,False,2차 후보(확인 필요),303,,,,,,,
121600,(주)나노신소재,중소,False,비대상,2049,,,,,,,
010040,한국내화(주),중견,False,비대상,2321,,,,,,,
113810,디젠스(주),중소,False,2차 후보(확인 필요),303,,,,,,,
056360,코위버(주),중소,False,비대상,26410,,,,,,,
011230,삼화전자공업(주),중소,False,비대상,265,,,,,,,
014940,(주)오리엔탈정공,중소,False,2차 후보(확인 필요),291,,,,,,,
059120,(주)아진엑스텍,중소,False,비대상,2611,,,,,,,
049830,(주) 승일,중견,False,2차 후보(확인 필요),259,,,,,,,
006650,대한유화(주),중견,False,비대상,20111,대한유화(주),의무,2025,1902460127.0,2828725728648.0,0.0006725502256131732,1조~5조
425040,티이엠씨 주식회사,중견,False,비대상,20121,,,,,,,
094360,(주)칩스앤미디어,중소,False,비대상,261,,,,,,,
143160,(주)아이디스,중견,False,비대상,26429,아이디스,자율,2025,1987042863.0,212943996893.0,0.009331293166242429,3천억 미만
119610,(주)인터로조,중견,False,2차 후보-약,271,,,,,,,
000100,(주)유한양행,중견,False,비대상,212,(주) 유한양행,의무,2025,10789801701.0,2105660561260.0,0.005124188532335678,1조~5조
032080,(주)아즈텍더블유비이,중소,False,비대상,13402,,,,,,,
187270,(주)신화콘텍,중소,False,비대상,2812,,,,,,,
014910,성문전자(주),중소,False,비대상,26291,,,,,,,
170920,엘티씨(주),중소,False,비대상,20119,,,,,,,
052330,(주)코텍,중견,False,비대상,26519,(주)코텍,의무,2025,1118223147.0,396838360262.0,0.0028178302779542997,3천억~5천억
045520,(주)크린앤사이언스,중소,False,2차 후보(확인 필요),291,,,,,,,
017370,(주)우신시스템,중견,False,2차 후보(확인 필요),292,,의무,2024,785743834.0,365470191408.0,0.002149953272448475,3천억~5천억
098660,㈜에스티오,중소,False,비대상,1419,,,,,,,
365590,(주)하이딥,중소,False,비대상,261,,,,,,,
103230,(주)에스앤더블류,중소,False,2차 후보(확인 필요),29111,,,,,,,
003160,(주)디아이,중견,False,2차 후보-약,27212,,,,,,,
044780,(주)에이치케이,중소,False,2차 후보-약,29221,,,,,,,
052260,(주)현대바이오랜드,대기업,False,비대상,204,,,,,,,
038950,(주)파인디지털,중소,False,비대상,2642,,,,,,,
043360,(주)디지아이,중소,False,비대상,263,,,,,,,
053620,(주)태양,중견,False,1차(2027),25991,,,,,,,
078600,대주전자재료(주),중견,False,비대상,2629,,,,,,,
307280,(주)원바이오젠,중소,False,비대상,213,,,,,,,
004780,(주)대륙제관,중견,False,1차(2027),25991,,,,,,,
016450,한세예스24홀딩스(주),중견,True,비대상,1419,,,,,,,
071090,(주)하이스틸,중견,False,1차(2027),2413,,,,,,,
261200,주식회사 덴티스,중견,False,2차 후보-약,271,,,,,,,
039030,(주)이오테크닉스,중견,False,비대상,29271,(주)이오테크닉스,의무,2025,1318351331.0,348509726704.0,0.0037828250690968984,3천억~5천억
067770,(주)세진티에스,중소,False,비대상,26211,,,,,,,
023450,(주)동남합성,중견,False,비대상,201,,,,,,,
357550,주식회사 석경에이티,중소,False,비대상,20129,,,,,,,
024740,한일단조공업(주),중견,False,2차 후보(확인 필요),303,,,,,,,
043200,(주)파루,중소,False,2차 후보(확인 필요),281,,,,,,,
058470,리노공업(주),중견,False,비대상,2629,리노공업(주),의무,2025,2007897465.0,372534084608.0,0.005389835582730143,3천억~5천억
126340,비나텍주식회사,중소,False,비대상,282,,,,,,,
037070,(주)파세코,중소,False,2차(2028),28519,,,,,,,
214680,(주)디알텍,중견,False,2차 후보-약,271,,,,,,,
072470,우리산업홀딩스(주),중견,True,2차 후보(확인 필요),303,,,,,,,
038460,(주)바이오스마트,중소,False,비대상,26293,,,,,,,
009160,(주)SIMPAC,중견,False,1차(2027),24113,주식회사 SIMPAC,의무,2025,3793861542.0,698629014180.0,0.005430437993550782,5천억~1조
017800,현대엘리베이터(주),중견,False,2차(2028),29162,현대엘리베이터(주),의무,2025,32038148323.0,1607100236100.0,0.01993537652682322,1조~5조
054450,(주)텔레칩스,중견,False,비대상,2611,,,,,,,
425420,(주)티에프이,중소,False,비대상,262,,,,,,,
290520,(주)신도기연,중소,False,비대상,29272,,,,,,,
183300,(주)코미코,중견,False,비대상,29271,,,,,,,
094170,(주)동운아나텍,중견,False,비대상,2611,,,,,,,
011090,(주)에넥스,중견,False,비대상,32021,,,,,,,
017480,삼현철강(주),중견,False,1차(2027),2419,,,,,,,
214430,아이쓰리시스템(주),중견,False,비대상,2629,,,,,,,
003800,(주)에이스침대,중견,False,비대상,32029,(주)에이스침대,의무,2025,1155667679.0,313024071031.0,0.0036919450801135025,3천억~5천억
092300,현우산업(주),중견,False,비대상,2622,,,,,,,
214330,(주)금호에이치티,중견,False,2차 후보(확인 필요),303,,,,,,,
048430,(주)유라테크,중견,False,2차 후보(확인 필요),281,,,,,,,
096690,(주)에이루트,중소,False,비대상,26329,,,,,,,
079170,한창산업(주),중소,False,비대상,24229,,,,,,,
002200,한국수출포장공업(주),중견,False,비대상,1721,,,,,,,
013310,아진산업(주),중견,False,2차 후보(확인 필요),303,아진산업,의무,2025,2256986307.0,586581484319.0,0.0038476944249617425,5천억~1조
002220,한일철강(주),중견,False,1차(2027),2419,,,,,,,
003960,(주)사조대림,중견,False,비대상,10211,주식회사 사조대림,의무,2025,3999398467.0,1445409405612.0,0.002766965851662365,1조~5조
187790,(주)나노,중소,False,비대상,20129,,,,,,,
032540,티제이미디어(주),중소,False,비대상,265,,,,,,,
208370,(주)셀바스헬스케어,중소,False,2차 후보-약,271,,,,,,,
143540,(주)영우디에스피,중소,False,비대상,29272,,,,,,,
065510,(주)휴비츠,중견,False,2차 후보-약,27199,,,,,,,
050760,(주)에스폴리텍,중소,False,비대상,222,,,,,,,
001380,(주)SG글로벌,중소,False,2차 후보(확인 필요),303,,,,,,,
092230,KPX홀딩스(주),중견,True,비대상,201,,,,,,,
274090,켄코아에어로스페이스(주),중소,False,비대상,31322,,,,,,,
012280,영화금속(주),중견,False,2차(2028),303,영화금속(주),의무,2025,518574411.0,351423851427.0,0.0014756380618283719,3천억~5천억
228340,동양파일(주),중소,False,비대상,23325,,,,,,,
241590,주식회사 화승엔터프라이즈,중소,False,비대상,15219,,,,,,,
120030,조선선재(주),중소,False,2차 후보(확인 필요),2599,,,,,,,
058730,다스코(주),중견,False,1차(2027),25112,,,,,,,
417500,(주)제이아이테크,중소,False,비대상,204,,,,,,,
950140,잉글우드랩 주식회사,중소,False,비대상,204,,,,,,,
013870,지엠비코리아(주),중견,False,"2차(2028, 제품명 확인)",303,지엠비코리아 주식회사,의무,2025,4724141708.0,704300930891.0,0.00670756135736405,5천억~1조
092730,(주)네오팜,중소,False,비대상,20423,,,,,,,
378340,주식회사 필에너지,중견,False,비대상,29299,,,,,,,
017860,주식회사 디에스단석,중견,False,비대상,204,디에스단석,의무,2025,886623383.0,892046476475.0,0.0009939206155530934,5천억~1조
