corp_code,corp_name,stock_code,corp_cls,induty_code,jurir_no,bizr_no,est_dt,acc_mt,adres,bsns_year,rcept_no,cfs_rev_t,cfs_rev_t1,cfs_rev_t2,cfs_assets_t,cfs_rev_3y_avg,ofs_rev_t,ofs_rev_t1,ofs_rev_t2,ofs_assets_t,ofs_rev_3y_avg,rev_source
00103592,광동제약(주),009290,Y,21220,1101110152134,1138108888,19631016,12,경기도 과천시 과천대로7다길 52 광동 과천 타워,2025,20260318001573,1659512457700.0,1640718849226.0,1514454148123.0,1320329495616.0,1604895151683.0,1011023893233.0,974839874431.0,917071057613.0,1022727543224.0,967644941759.0,주요계정
00949161,(주)티엠씨,217590,Y,2830,1615110148704,3128646688,20121231,12,충청남도 천안시 서북구 입장면 연곡길 443,2025,20260318000642,340884970260.0,362513662525.0,372255408197.0,237113294850.0,358551346994.0,325654595559.0,347554232366.0,339138186768.0,228861047381.0,337449004898.0,주요계정
00591441,어보브반도체(주),102120,K,2612,1501110093926,3018188214,20060111,12,충청북도 청원군 오창읍 각리1길 93-,2025,20260319000019,244123643799.0,232116611005.0,232436389092.0,286055183481.0,236225547965.0,172077418193.0,158073145826.0,143860648741.0,205804887154.0,158003737587.0,주요계정
00108746,디케이엠이(주),015590,Y,29176,1812110002275,6108102779,19810930,12,울산광역시 남구  처용로 260-37,2025,20260528000864,133411972702.0,136623566311.0,137250775712.0,187652354336.0,135762104908.0,133411972702.0,136623566311.0,137250775712.0,187641212092.0,135762104908.0,주요계정
00397289,(주)오텍,067170,K,304,1101110795455,2118639754,19910731,12,충청남도 예산군  고덕면 예덕로 1033-36,2025,20260319001411,852138652064.0,909232399803.0,959746785770.0,508993661787.0,907039279212.0,104880081729.0,98927668530.0,121102883092.0,200284203002.0,108303544450.0,주요계정
00109693,디엘 주식회사,000210,Y,20111,1101110084915,1168135007,19391010,12,"서울특별시 강서구 공항대로 165 에이동(마곡동, 원그로브)",2025,20260318000970,5326721292281.0,5615368498981.0,5017815821242.0,12182144221519.0,5319968537501.0,174580444927.0,110207197903.0,111126129898.0,3851964287783.0,131971257576.0,주요계정
00406329,(주)루멘스바이오스,038060,K,2612,1301110038918,1358119745,19960617,12,경기도 용인시 기흥구 하갈로86번길 51 3층(보라동),2025,20260319000497,175538081725.0,174227991930.0,171236881677.0,156110248230.0,173667651777.0,87961036707.0,83529951957.0,99770061472.0,145735083538.0,90420350045.0,주요계정
00447007,알리코제약(주),260660,K,213,1350110038048,1348115033,19921228,12,서울특별시 서초구 바우뫼로27길 7-21 (양재동),2025,20260319000689,,,,,,201203501691.0,190435818369.0,187154507589.0,171843891934.0,192931275883.0,주요계정
00920731,(주)케이앤에스아이앤씨,487400,K,26429,1101112405896,1108154705,20011226,12,대전광역시 유성구 유성대로 1476-55 &nbsp,,,,,,,,,,,,,
00252135,주성엔지니어링(주),036930,K,29229,1301110033281,1248129001,19950413,12,경기도 광주시  오포읍 오포로 240 주성엔지니어링,2025,20260318000323,310692584812.0,409393371588.0,284745246660.0,887892914256.0,334943734353.0,310692584812.0,409378252326.0,284689736836.0,886709680621.0,334920191325.0,주요계정
00407771,(주)듀오백,073190,K,32091,1201110040676,1368107470,19870422,12,인천 서구 가좌동 543-2,2025,20260317000661,,,,,,20094729114.0,23102568838.0,23677369836.0,52155311550.0,22291555929.0,주요계정
00258102,(주)지엔코,065060,K,141,1101111421257,2208145177,19970531,12,서울특별시 송파구  동남로4길 41 지엔코빌딩,2025,20260319000772,110866718148.0,121173166298.0,146952545704.0,233804428078.0,126330810050.0,76647765015.0,84061121318.0,88576846305.0,125941969837.0,83095244213.0,주요계정
00265041,(주)삼양케이씨아이,036670,K,20421,1244110011884,1338126385,19910713,12,충남 서산시 대산읍 대죽리 13-7,2025,20260319000646,,,,,,116839597551.0,110184780128.0,109946107606.0,144227657162.0,112323495095.0,주요계정
00765569,기가비스(주),420770,K,292,1345110078029,1358168528,20040218,12,경기도 화성시 동탄구 동탄산단3길 20-5 -,2025,20260319000682,52434995936.0,26133336219.0,91422516772.0,239277069528.0,56663616309.0,52305388624.0,26133336219.0,91422516772.0,239156373372.0,56620413872.0,주요계정
00428729,(주)대호에이엘,069460,Y,24222,1701110233338,5148146009,20021001,12,대구광역시 달성군  논공읍 논공중앙로 211,2025,20260324000005,215642472961.0,168532831254.0,181568717221.0,169573525667.0,188581340479.0,200272853980.0,168532831254.0,181568717221.0,159153957301.0,183458134152.0,주요계정
